iter	Passed	Remaining
420	1230	1692
421	1233	1688
422	1236	1686
423	1239	1683
424	1241	1680
425	1244	1677
426	1247	1674
427	1250	1671
428	1253	1668
429	1256	1665
430	1259	1662
431	1262	1659
432	1265	1657
433	1268	1654
434	1271	1651
435	1274	1648
436	1276	1645
437	1279	1642
438	1282	1638
439	1285	1636
440	1288	1633
441	1291	1630
442	1294	1627
443	1297	1624
444	1300	1621
445	1303	1619
446	1306	1615
447	1308	1612
448	1311	1609
449	1314	1606
450	1317	1603
451	1320	1600
452	1323	1597
453	1325	1594
454	1328	1591
455	1331	1588
456	1334	1586
457	1337	1583
458	1340	1579
459	1343	1577
460	1346	1574
461	1349	1571
462	1352	1568
463	1355	1565
464	1358	1562
465	1361	1559
466	1363	1556
467	1366	1553
468	1369	1550
469	1372	1547
470	1375	1544
471	1378	1541
472	1380	1538
473	1383	1535
474	1386	1532
475	1389	1529
476	1392	1526
477	1395	1523
478	1398	1520
479	1401	1517
480	1403	1514
481	1406	1511
482	1409	1508
483	1412	1505
484	1415	1502
485	1418	1499
486	1421	1496
487	1423	1493
488	1426	1490
489	1429	1488
490	1432	1485
491	1435	1482
492	1438	1479
493	1441	1476
494	1444	1473
495	1447	1470
496	1450	1468
497	1453	1465
498	1456	1462
499	1459	1459
500	1462	1456
501	1465	1453
502	1468	1450
503	1471	1448
504	1474	1444
505	1476	1441
506	1479	1438
507	1482	1436
508	1485	1433
509	1488	1430
510	1491	1427
511	1494	1424
512	1497	1421
513	1500	1418
514	1502	1415
515	1505	1412
516	1508	1409
517	1511	1406
518	1514	1403
519	1516	1400
520	1519	1397
521	1522	1394
522	1525	1391
523	1528	1388
524	1531	1385
525	1534	1382
526	1537	1379
527	1540	1376
528	1542	1373
529	1545	1370
530	1548	1367
531	1551	1364
532	1553	1361
533	1556	1358
534	1559	1355
535	1562	1352
536	1565	1349
537	1568	1346
538	1570	1343
539	1573	1340
540	1576	1337
541	1580	1335
542	1582	1332
543	1585	1329
544	1588	1326
545	1591	1323
546	1594	1320
547	1597	1317
548	1599	1314
549	1602	1310
550	1605	1307
551	1607	1304
552	1610	1302
553	1613	1298
554	1616	1296
555	1619	1292
556	1621	1289
557	1624	1286
558	1628	1284
559	1631	1281
560	1633	1278
561	1636	1275
562	1639	1272
563	1642	1269
564	1645	1267
565	1648	1264
566	1651	1261
567	1654	1258
568	1657	1255
569	1660	1252
570	1662	1249
571	1665	1246
572	1668	1243
573	1671	1240
574	1674	1237
575	1677	1234
576	1680	1231
577	1683	1229
578	1686	1226
579	1689	1223
580	1692	1220
581	1694	1217
582	1697	1214
583	1700	1211
584	1703	1208
585	1706	1205
586	1709	1202
587	1711	1199
588	1714	1196
589	1717	1193
590	1720	1190
591	1723	1187
592	1726	1184
593	1729	1181
594	1731	1178
595	1734	1176
596	1737	1173
597	1740	1170
598	1743	1167
599	1746	1164
600	1749	1161
601	1751	1158
602	1754	1155
603	1757	1152
604	1760	1149
605	1763	1146
606	1765	1143
607	1768	1140
608	1771	1137
609	1774	1134
610	1777	1131
611	1780	1128
612	1782	1125
613	1785	1122
614	1789	1119
615	1792	1117
616	1794	1114
617	1797	1111
618	1800	1108
619	1803	1105
620	1806	1102
621	1809	1099
622	1811	1096
623	1814	1093
624	1816	1090
625	1819	1087
626	1822	1084
627	1825	1081
628	1828	1078
629	1831	1075
630	1834	1072
631	1836	1069
632	1840	1066
633	1842	1063
634	1845	1060
635	1848	1057
636	1851	1054
637	1854	1052
638	1856	1049
639	1859	1046
640	1862	1043
641	1865	1040
642	1868	1037
643	1871	1034
644	1874	1031
645	1876	1028
646	1879	1025
647	1882	1022
648	1885	1019
649	1888	1017
650	1891	1014
651	1894	1011
652	1897	1008
653	1900	1005
654	1903	1002
655	1906	999
656	1908	996
657	1911	993
658	1914	990
659	1917	987
660	1920	985
661	1923	982
662	1926	979
663	1929	976
664	1931	973
665	1934	970
666	1937	967
667	1940	964
668	1943	961
669	1946	958
670	1949	955
671	1951	952
672	1954	949
673	1957	946
674	1960	943
675	1962	940
676	1965	937
677	1968	935
678	1971	932
679	1974	929
680	1977	926
681	1980	923
682	1983	920
683	1986	917
684	1988	914
685	1991	911
686	1994	908
687	1997	905
688	2000	902
689	2003	899
690	2005	896
691	2008	894
692	2011	891
693	2014	888
694	2017	885
695	2020	882
696	2022	879
697	2025	876
698	2028	873
699	2031	870
700	2034	867
701	2037	864
702	2039	861
703	2042	858
704	2045	856
705	2048	853
706	2051	850
707	2054	847
708	2057	844
709	2060	841
710	2063	838
711	2066	835
712	2069	832
713	2071	829
714	2074	826
715	2077	823
716	2080	821
717	2083	818
718	2086	815
719	2088	812
720	2091	809
721	2094	806
722	2097	803
723	2100	800
724	2102	797
725	2105	794
726	2108	791
727	2111	788
728	2114	785
729	2117	783
730	2120	780
731	2122	777
732	2125	774
733	2128	771
734	2131	768
735	2134	765
736	2137	762
737	2140	759
738	2142	756
739	2145	753
740	2148	750
741	2151	748
742	2154	745
743	2157	742
744	2159	739
745	2162	736
746	2165	733
747	2168	730
748	2171	727
749	2174	724
750	2176	721
751	2180	718
752	2182	716
753	2185	713
754	2188	710
755	2191	707
756	2194	704
757	2197	701
758	2200	698
759	2202	695
760	2205	692
761	2208	689
762	2211	686
763	2214	684
764	2217	681
765	2220	678
766	2222	675
767	2225	672
768	2228	669
769	2231	666
770	2234	663
771	2236	660
772	2239	657
773	2242	654
774	2245	651
775	2248	648
776	2251	646
777	2253	643
778	2256	640
779	2259	637
780	2263	634
781	2265	631
782	2268	628
783	2271	625
784	2274	622
785	2278	620
786	2281	617
787	2284	614
788	2287	611
789	2290	608
790	2293	606
791	2296	603
792	2299	600
793	2301	597
794	2304	594
795	2307	591
796	2310	588
797	2313	585
798	2316	582
799	2319	579
800	2321	576
801	2324	573
802	2327	571
803	2330	568
804	2333	565
805	2336	562
806	2339	559
807	2341	556
808	2344	553
809	2347	550
810	2350	547
811	2353	544
812	2356	541
813	2359	539
814	2362	536
815	2364	533
816	2367	530
817	2370	527
818	2373	524
819	2376	521
820	2379	518
821	2382	515
822	2385	512
823	2387	510
824	2390	507
825	2393	504
826	2396	501
827	2399	498
828	2402	495
829	2405	492
830	2408	489
831	2411	486
832	2414	484
833	2417	481
834	2420	478
835	2423	475
836	2426	472
837	2429	469
838	2431	466
839	2435	463
840	2438	461
841	2441	458
842	2444	455
843	2447	452
844	2450	449
845	2453	446
846	2456	443
847	2459	440
848	2461	437
849	2464	434
850	2467	432
851	2470	429
852	2473	426
853	2476	423
854	2478	420
855	2481	417
856	2484	414
857	2487	411
858	2490	408
859	2493	405
860	2496	403
861	2499	400
862	2502	397
863	2505	394
864	2508	391
865	2511	388
866	2513	385
867	2516	382
868	2519	379
869	2522	376
870	2525	374
871	2528	371
872	2531	368
873	2533	365
874	2536	362
875	2539	359
876	2542	356
877	2545	353
878	2548	350
879	2551	347
880	2554	344
881	2556	342
882	2559	339
883	2562	336
884	2565	333
885	2568	330
886	2571	327
887	2574	324
888	2576	321
889	2579	318
890	2582	315
891	2585	313
892	2588	310
893	2591	307
894	2594	304
895	2597	301
896	2600	298
897	2603	295
898	2605	292
899	2608	289
900	2611	286
901	2614	284
902	2617	281
903	2620	278
904	2623	275
905	2625	272
906	2628	269
907	2631	266
908	2634	263
909	2637	260
910	2640	257
911	2643	255
912	2645	252
913	2648	249
914	2652	246
915	2655	243
916	2658	240
917	2661	237
918	2663	234
919	2666	231
920	2669	229
921	2672	226
922	2675	223
923	2677	220
924	2680	217
925	2683	214
926	2686	211
927	2689	208
928	2692	205
929	2694	202
930	2697	199
931	2700	197
932	2703	194
933	2706	191
934	2709	188
935	2712	185
936	2715	182
937	2718	179
938	2721	176
939	2724	173
940	2727	170
941	2729	168
942	2732	165
943	2735	162
944	2738	159
945	2741	156
946	2743	153
947	2746	150
948	2749	147
949	2752	144
950	2755	141
951	2758	139
952	2761	136
953	2764	133
954	2767	130
955	2769	127
956	2772	124
957	2775	121
958	2778	118
959	2781	115
960	2783	112
961	2786	110
962	2789	107
963	2792	104
964	2795	101
965	2798	98
966	2801	95
967	2804	92
968	2807	89
969	2810	86
970	2813	84
971	2816	81
972	2819	78
973	2821	75
974	2824	72
975	2827	69
976	2830	66
977	2833	63
978	2836	60
979	2838	57
980	2841	55
981	2844	52
982	2847	49
983	2850	46
984	2853	43
985	2856	40
986	2859	37
987	2861	34
988	2864	31
989	2867	28
990	2870	26
991	2873	23
992	2876	20
993	2879	17
994	2882	14
995	2884	11
996	2887	8
997	2890	5
998	2893	2
999	2896	0
